"Time","{container=""main"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""loadgenerator-56c4cd7887-n5x68"", uid=""b6dd4de0-9a2d-4c63-a297-4082d45aee3b""}","{container=""main"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""loadgenerator-56c4cd7887-r425m"", uid=""f0f78182-a113-4da1-a7ae-fd47f1b1c7ce""}","{container=""main"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""loadgenerator-675b588654-rrgkb"", uid=""13f04fba-bdd3-4fc7-94a1-c78636b752d5""}","{container=""redis"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""redis-cart-5bbccd47f-kr6wf"", uid=""381bca7e-d822-4f68-989f-f910eda2c666""}","{container=""redis"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""redis-cart-689d957757-xs562"", uid=""87e9c8c4-aac5-492d-a046-f46cb43e7dc8""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""adservice-6fd97c5f66-85vlz"", uid=""37210729-6dfb-476d-81a3-0c08af9a188d""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""adservice-84674696bd-dwm2q"", uid=""30e17a62-10a0-46c3-b7ce-d7ac447cb2d7""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""cartservice-56464cbd57-mmb44"", uid=""4ff75332-080b-49e0-804d-ebd09edbd4a0""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""cartservice-d6c6b89c5-thm6z"", uid=""a30db430-f30b-40ca-8694-31d569817728""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""checkoutservice-547698945f-kkq85"", uid=""76705c07-9ad4-4a17-93c1-3a8ec4850476""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""checkoutservice-57ff9b6f6f-chntd"", uid=""fe3cdf75-885b-44f2-9eb4-66e2b4f1bfa7""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""currencyservice-6c79f6489c-xgcnj"", uid=""8fe137b4-48d4-4ca6-a51f-5217293d928a""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""currencyservice-758cffcb79-mmx4m"", uid=""48d5dfc7-10bb-437d-8f2d-f5f110bad5e4""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""emailservice-6b8c7568f6-sq8lf"", uid=""5e1c029d-8a0a-4896-be14-86cca555641a""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""emailservice-7db8d45dbb-vjsbv"", uid=""f0f856a4-f954-4ef8-94d2-e3be08631b7b""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""frontend-5b7bdb5976-5rlqp"", uid=""0e0f2557-6e40-40dd-b9c4-76604f0060c1""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""frontend-7b6c847994-j72tz"", uid=""17eb3664-470c-4d2a-90d6-212063cab2b3""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""paymentservice-5c459c6b77-stvrx"", uid=""b0cacd50-f3ce-445f-8206-d47f6c127bd8""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""paymentservice-fdb87db6c-n75xr"", uid=""7dfe3781-04e6-4e33-817d-adb70d68365b""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""productcatalogservice-579f77468b-lf649"", uid=""1794dfe4-288d-4d8e-a47a-41fe6dbf5b81""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""productcatalogservice-58f898d544-ppwqq"", uid=""c76bdb5c-381e-4b2e-b00d-1e6056de4709""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""recommendationservice-75cdbfb85f-tbx68"", uid=""3dbdb578-bbd6-4031-98f0-c8f87b1b0f6e""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""recommendationservice-b44f7c66f-bhqth"", uid=""659b4b3e-7248-4fc4-a77a-ddea1ca63879""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""shippingservice-6d78c69fb9-wrrsf"", uid=""27e08079-e7d2-4114-9235-423264c6646c""}","{container=""server"", instance=""kube-state-metrics.kube-system.svc.cluster.local:8080"", job=""kube-state-metrics"", namespace=""default"", pod=""shippingservice-8f959b975-tfj6s"", uid=""f80c2154-6cfc-45b8-ae01-7a995e175b95""}"
2024-05-29 14:02:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:56,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:02:58,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-05-29 14:03:00,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2024-05-29 14:03:02,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2024-05-29 14:03:04,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
2024-05-29 14:03:06,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,0
2024-05-29 14:03:08,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,,0
2024-05-29 14:03:10,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0
2024-05-29 14:03:12,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0
2024-05-29 14:03:14,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,,0,0,,0
2024-05-29 14:03:16,0,0,0,,0,0,0,0,,,0,0,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:18,0,0,0,,0,0,0,0,,,0,0,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:20,0,0,0,,0,0,0,0,,,0,0,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:22,0,0,0,,0,0,0,0,,,0,0,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:24,0,0,0,,0,0,0,0,,,0,0,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:26,0,0,0,,0,0,0,0,,,0,0,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:28,0,0,0,,0,0,0,0,,,0,0,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:30,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:32,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:34,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,0,,,0
2024-05-29 14:03:36,0,0,0,,0,0,0,0,,,0,,0,0,,,0,,0,0,,0,,,0
